tpu_code,active_ingredient,strength,form,amount_numerator,amount_numerator_unit,amount_denominator_unit,name,manufacturer_name
435323,paracetamol,500 mg,tablet,,,tablet,S.C. 500,เอส.โค. ฟาร์ม่า
439180,norfloxacin,400 mg,film-coated tablet,,,tablet,SEFNOR 400,ยูนีซัน
439855,betahistine dihydrochloride,8 mg,tablet,,,tablet,SERC,"FRESENIUS KABI, NETHERLANDS"
554641,cloxacillin,250 mg,powder for solution for injection,,,vial,CLOXGEN,เยนเนอร์ราลดรั๊กส์เฮ้าส์
554687,cloxacillin,250 mg,powder for solution for injection,,,vial,PHARBIN,เอ็ม.แอนด์.เอ็ช. แมนูแฟคเจอริ่ง
555041,cyanocobalamin,1 mg/1 mL,solution for injection,1,mL,ampoule,VITAMIN B12,ที.พี. ดรัก แลบบอราทอรี่ส์
437520,cloxacillin,500 mg,"capsule, hard",,,capsule,SANOCLOX,โอสถอินเตอร์ แลบบอราทอรีส์
365200,ketoconazole,200 mg,tablet,,,tablet,MACRONAZOL,แมคโครฟาร์
366943,ketoconazole,200 mg,tablet,,,tablet,MANOKETO,แหลมทองการแพทย์
367043,phenazopyridine,50 mg,coated tablet,,,tablet,MANOPIN,แหลมทองการแพทย์
371277,prednisolone,5 mg,tablet,,,tablet,MEDISOLONE,เวชบริการ
371525,serratiopeptidase,5 mg,film-coated tablet,,,tablet,MEDIZYME,ยูโทเปี้ยน
439568,serratiopeptidase,10 mg,film-coated tablet,,,tablet,SERAREX 10,บูรพาโอสถ
439919,serratiopeptidase,5 mg,film-coated tablet,,,tablet,SERDAN,นิวไลฟ์ฟาร์ม่า
440565,serratiopeptidase,5 mg,film-coated tablet,,,tablet,SERPEP,มาซา แลบ
440900,serratiopeptidase,10 mg,film-coated tablet,,,tablet,SERRIN 10,แมคโครฟาร์
441904,simeticone,40 mg,chewable tablet,,,tablet,SICONE,บี.เอ็ล.ฮั้ว
434779,roxithromycin,150 mg,film-coated tablet,,,tablet,RULID,"AVENTIS INTERCONTINENTAL, FRANCE"
555087,cyanocobalamin,1 mg/1 mL,solution for injection,1,mL,ampoule,VITAMIN B12,ลิวินเนอร์ ฟาร์มาซูติคอล
555266,cyanocobalamin,1 mg/1 mL,solution for injection,1,mL,ampoule,VITAMIN B12,นิวเจริญฟาร์มาซูติคอล
555883,dexamethasone,4 mg/1 mL,solution for injection,1,mL,ampoule,PHENODEX,เวสโก ฟาร์มาซูติคอล
547294,ceftazidime,1 g,solution for injection,1,g,vial,CEFTUM,นิด้า ฟาร์มา
550216,ceftriaxone,500 mg,powder for solution for injection/infusion,,,vial,CEFINE,ไทยนครพัฒนา
550318,ceftriaxone,500 mg,powder for solution for injection/infusion,,,vial,IFICEF,"UNIQUE PHARMACEUTICAL LABORATORIES, INDIA"
357021,lamivudine,150 mg,film-coated tablet,,,tablet,LAMIVUDINE,"AUROBINDO PHARMA, INDIA"
359237,chloramphenicol,250 mg,tablet,,,tablet,LEVOMYCETIN,จิวบราเดอร์ส
557550,dextrose,50 g/100 mL,solution for injection/infusion,50,mL,vial,UMEDA GLUCOSE 50 %,ยูเมด้า
561101,dobutamine,250 mg/20 mL,concentrate for solution for infusion,20,mL,vial,DOBUTAMINE,"SYNTHON, NETHERLANDS"
442853,prazosin,1 mg,tablet,,,tablet,SIMPRES 1,ยูโทเปี้ยน
450836,paracetamol,500 mg,tablet,,,tablet,SUNTANA,สหแพทย์เภสัช
452136,paracetamol,500 mg,tablet,,,tablet,TAB-P.C.,อินแพคฟาร์มา
452854,orphenadrine citrate + paracetamol,35 mg + 500 mg,tablet,,,tablet,TARGESIC,อินแพคฟาร์มา
362371,loperamide,2 mg,"capsule, hard",,,capsule,LOPERDIUM,เยนเนอร์ราลดรั๊กส์เฮ้าส์
549547,ceftriaxone,2 g,powder for solution for injection/infusion,,,vial,CEFINE,ไทยนครพัฒนา
549801,ceftriaxone,250 mg,powder for solution for injection/infusion,,,vial,CEFINE,ไทยนครพัฒนา
550743,ceftriaxone + lidocaine hydrochloride,250 mg + 20 mg/2 mL,powder and solvent for solution for injection,2,mL,vial,TRICEPHIN,แอตแลนติค
550974,ceftriaxone + lidocaine hydrochloride,250 mg + 20 mg/2 mL,powder and solvent for solution for injection,2,mL,vial,CEFTRIAXONE,ที.พี. ดรัก แลบบอราทอรี่ส์
566698,lincomycin,600 mg/2 mL,solution for injection,2,mL,vial,LINCOCILIN,เวสโก ฟาร์มาซูติคอล
566937,lincomycin,600 mg/2 mL,solution for injection,2,mL,vial,LINCOMYCIN,ที.พี. ดรัก แลบบอราทอรี่ส์
438965,amiloride hydrochloride + hydrochlorothiazide,5 mg + 50 mg,tablet,,,tablet,SEFARETIC,ยูนีซัน
440182,metformin hydrochloride,500 mg,film-coated tablet,,,tablet,SEROMIN,บางกอกแล็ป แอนด์ คอสเมติค
440944,ethambutol hydrochloride,400 mg,film-coated tablet,,,tablet,SERVAMBUTOL 400,โอลิค
441744,ampicillin,500 mg,"capsule, hard",,,capsule,SIAMPICIL,สยามเภสัช
378649,chlordiazepoxide,10 mg,"capsule, hard",,,capsule,MINOXIDE 10,บี.เจ. (เบญจโอสถ)
454692,theophylline,125 mg,tablet,,,tablet,TEOPHYL,เอเชี่ยนยูเนียนแล็บบอราตอรี่ส์
455765,tetracycline,250 mg,coated tablet,,,tablet,TETRACYCLINE,เอเชี่ยนยูเนียนแล็บบอราตอรี่ส์
382793,ambroxol hydrochloride,30 mg,tablet,,,tablet,MUCODON,แอคดอน
383058,ambroxol hydrochloride,30 mg,tablet,,,tablet,MUCOLID,เกร๊ทเตอร์ฟาร์ม่า
556368,dexamethasone,4 mg/1 mL,solution for injection,1,mL,ampoule,UTO-DEXAMETHASONE,ยูโทเปี้ยน
556375,dexamethasone,4 mg/1 mL,solution for injection,10,mL,vial,UTO-DEXAMETHASONE,ยูโทเปี้ยน
422051,quetiapine,200 mg,film-coated tablet,,,tablet,QUANTIA 200,ยูนีซัน
425069,galantamine,8 mg,"prolonged-release capsule, hard",,,capsule,REMINYL,"JANSSEN-CILAG, ITALY"
440549,paroxetine,25 mg,prolonged-release tablet,,,tablet,SEROXAT CR,"SMITHKLINE BEECHAM, PUERTO RICO"
447146,carbidopa + entacapone + levodopa,12.5 mg + 200 mg + 50 mg,film-coated tablet,,,tablet,STALEVO,"ORION CORPORATION, FINLAND"
370071,mebendazole,100 mg,tablet,,,tablet,MEDAZOLE,เอเชี่ยนฟาร์มาซูติคอล
435306,niclosamide,500 mg,tablet,,,tablet,S.BOMB,เอส.โค. ฟาร์ม่า
439696,betahistine dihydrochloride,16 mg,tablet,,,tablet,SERC,"ABBOTT HEALTHCARE, FRANCE"
439935,serratiopeptidase,10 mg,film-coated tablet,,,tablet,SERDAN-10,นิวไลฟ์ฟาร์ม่า
