id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_ni_condition,access_ni_condition,model_ni_condition,ni_patient.group_viewer,1,0,0,0
access_ni_condition_user,access_ni_condition_user,model_ni_condition,ni_patient.group_user,1,1,1,1
access_ni_patient_condition_latest,access_ni_patient_condition_latest,model_ni_condition_latest,ni_patient.group_viewer,1,0,0,0
access_ni_encounter_diagnosis,access_ni_encounter_diagnosis,model_ni_encounter_diagnosis,ni_patient.group_viewer,1,0,0,0
access_ni_encounter_diagnosis_user,access_ni_encounter_diagnosis_user,model_ni_encounter_diagnosis,ni_patient.group_user,1,1,1,1
access_ni_encounter_diagnosis_role_wizard,access_ni_encounter_diagnosis_role_wizard,model_ni_encounter_diagnosis_role_wizard,ni_patient.group_user,1,1,1,0

access_ni_condition_code,access_ni_condition_code,model_ni_condition_code,,1,0,0,0
access_ni_condition_category,access_ni_condition_category,model_ni_condition_category,,1,0,0,0
access_ni_condition_verification,access_ni_condition_verification,model_ni_condition_verification,,1,0,0,0
access_ni_encounter_diagnosis_role,access_ni_diagnosis_role,model_ni_encounter_diagnosis_role,,1,0,0,0

access_ni_condition_category_admin,access_ni_condition_category_admin,model_ni_condition_category,ni_patient.group_admin,1,1,1,1
access_ni_condition_code_admin,access_ni_condition_code_manager,model_ni_condition_code,ni_patient.group_admin,1,1,1,1
access_ni_condition_verification_admin,access_ni_condition_verification_admin,model_ni_condition_verification,ni_patient.group_admin,1,1,1,1
access_ni_encounter_diagnosis_role_admin,access_ni_diagnosis_role_admin,model_ni_encounter_diagnosis_role,ni_patient.group_admin,1,1,1,1
