id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_quantity_unit,quantity unit,model_ni_quantity_unit,group_user,1,0,0,0
access_timing,timing,model_ni_timing,group_user,1,1,1,1
access_timing_dow,timing day of week,model_ni_timing_dow,group_user,1,1,1,1
access_timing_tod,timing time of day,model_ni_timing_tod,group_user,1,1,1,1
access_timing_tod_code,timing time of day code,model_ni_timing_tod_code,group_user,1,0,0,0
access_timing_event,timing event,model_ni_timing_event,group_user,1,0,0,0
access_timing_template,timing template,model_ni_timing_template,group_user,1,0,0,0

access_quantity_unit_manager,quantity unit manager,model_ni_quantity_unit,group_manager,1,1,1,1
access_timing_tod_code_manager,timing time of day code manager,model_ni_timing_tod_code,group_manager,1,1,1,1
access_timing_event_manager,timing event manager,model_ni_timing_event,group_manager,1,1,1,1
access_timing_template_manager,timing template manager,model_ni_timing_template,group_manager,1,1,1,1
