id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_coverage,coverage,model_ni_coverage,nirun_patient.group_viewer,1,0,0,0
access_coverage_benefit,coverage benefit,model_ni_coverage_benefit,nirun_patient.group_viewer,1,0,0,0
access_coverage_copay,coverage copay,model_ni_coverage_copay,nirun_patient.group_viewer,1,0,0,0
access_coverage_type,coverage type,model_ni_coverage_type,nirun_patient.group_viewer,1,0,0,0
access_insurance_plan,insurance plan,model_ni_insurance_plan,nirun_patient.group_viewer,1,0,0,0
access_insurance_plan_benefit,insurance plan benefit,model_ni_insurance_plan_benefit,nirun_patient.group_viewer,1,0,0,0

access_coverage_user,coverage user,model_ni_coverage,nirun_patient.group_user,1,1,1,1
access_coverage_benefit_user,coverage benefit user,model_ni_coverage_benefit,nirun_patient.group_user,1,1,1,1

access_coverage_manager,coverage manager,model_ni_coverage,nirun_patient.group_manager,1,1,1,1
access_coverage_benefit_manager,coverage benefit manager,model_ni_coverage_benefit,nirun_patient.group_manager,1,1,1,1
access_coverage_copay_manager,coverage copay manager,model_ni_coverage_copay,nirun_patient.group_manager,1,1,1,1
access_coverage_type_manager,coverage type manager,model_ni_coverage_type,nirun_patient.group_manager,1,1,1,1
access_insurance_plan_manager,insurance plan manager,model_ni_insurance_plan,nirun_patient.group_manager,1,1,1,1
access_insurance_plan_benefit_manager,insurance plan benefit manager,model_ni_insurance_plan_benefit,nirun_patient.group_manager,1,1,1,1
