id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_goal_achievement,goal achievement,model_ni_goal_achievement,nirun_patient.group_viewer,1,0,0,0
access_goal_code,goal code,model_ni_goal_code,nirun_patient.group_viewer,1,0,0,0
access_goal,careplan goal,model_ni_goal,nirun_patient.group_viewer,1,0,0,0

access_goal_code_user,goal code user,model_ni_goal_code,nirun_patient.group_user,1,1,1,0
access_goal_user,careplan goal user,model_ni_goal,nirun_patient.group_user,1,1,1,1

access_goal_code_manager,goal code manager,model_ni_goal_code,nirun_patient.group_manager,1,1,1,1
access_goal_achievement_manager,goal achievement careplan manager,model_ni_goal_achievement,nirun_patient.group_manager,1,1,1,1
access_goal_manager,careplan goal manager,model_ni_goal,nirun_patient.group_manager,1,1,1,1
