id,name
form_solution_for_injection/infusion,"solution for injection/infusion"
form_tablet,"tablet"
form_film_coated_tablet,"film-coated tablet"
form_chewable_tablet,"chewable tablet"
form_capsule__hard,"capsule, hard"
form_gastro_resistant_tablet,"gastro-resistant tablet"
form_powder_for_solution_for_injection,"powder for solution for injection"
form_powder_for_suspension_for_injection,"powder for suspension for injection"
form_solution_for_injection,"solution for injection"
form_oral_suspension,"oral suspension"
form_implant,"implant"
form_powder_for_oral_solution,"powder for oral solution"
form_oral_solution,"oral solution"
form_prolonged_release_capsule__hard,"prolonged-release capsule, hard"
form_capsule__soft,"capsule, soft"
form_nasal_spray__solution,"nasal spray, solution"
form_concentrate_for_solution_for_infusion,"concentrate for solution for infusion"
form_eye_drops__emulsion,"eye drops, emulsion"
form_prolonged_release_tablet,"prolonged-release tablet"
form_ointment,"ointment"
form_suppository,"suppository"
form_bath_additive,"bath additive"
form_solution_for_infusion,"solution for infusion"
form_powder_for_solution_for_injection/infusion,"powder for solution for injection/infusion"
form_oral_powder,"oral powder"
form_coated_tablet,"coated tablet"
form_powder_and_solvent_for_solution_for_injection,"powder and solvent for solution for injection"
form_powder_for_solution_for_infusion,"powder for solution for infusion"
form_powder_and_solvent_for_suspension_for_injection,"powder and solvent for suspension for injection"
form_orodispersible_tablet,"orodispersible tablet"
form_gel,"gel"
form_syrup,"syrup"
form_powder_for_concentrate_for_solution_for_infusion,"powder for concentrate for solution for infusion"
form_concentrate_and_solvent_for_solution_for_infusion,"concentrate and solvent for solution for infusion"
form_modified_release_tablet,"modified-release tablet"
form_lozenge,"lozenge"
form_pressurised_inhalation__solution,"pressurised inhalation, solution"
form_cutaneous_solution,"cutaneous solution"
form_suspension_for_injection,"suspension for injection"
form_gastro_resistant_capsule__hard,"gastro-resistant capsule, hard"
form_gastro_resistant_granules_for_oral_suspension,"gastro-resistant granules for oral suspension"
form_cream,"cream"
form_powder_and_solvent_for_solution_for_infusion,"powder and solvent for solution for infusion"
form_powder_and_solvent_for_solution_for_injection/infusion,"powder and solvent for solution for injection/infusion"
form_cutaneous_emulsion,"cutaneous emulsion"
form_powder_and_solvent_for_prolonged_release_suspension_for_injection,"powder and solvent for prolonged-release suspension for injection"
form_dispersible_tablet,"dispersible tablet"
form_vaginal_tablet,"vaginal tablet"
form_effervescent_tablet,"effervescent tablet"
form_sublingual_tablet,"sublingual tablet"
form_injection,"injection"
form_inhalation_powder__hard_capsule,"inhalation powder, hard capsule"
form_pessary,"pessary"
form_powder_and_solvent_for_concentrate_for_solution_for_infusion,"powder and solvent for concentrate for solution for infusion"
form_vaginal_capsule__hard,"vaginal capsule, hard"
form_cutaneous_liquid,"cutaneous liquid"
form_medicated_chewing_gum,"medicated chewing-gum"
form_eye_drops__solution,"eye drops, solution"
form_shampoo,"shampoo"
form_nebuliser_solution,"nebuliser solution"
form_eye_drops__suspension,"eye drops, suspension"
form_granules_for_oral_suspension,"granules for oral suspension"
form_nebuliser_suspension,"nebuliser suspension"
form_pastille,"pastille"
form_rectal_suspension,"rectal suspension"
form_gargle/mouthwash,"gargle/mouthwash"
form_transdermal_patch,"transdermal patch"
form_powder_for_oral_suspension,"powder for oral suspension"
form_emulsion_for_injection/infusion,"emulsion for injection/infusion"
form_oral_drops__solution,"oral drops, solution"
form_powder_for_syrup,"powder for syrup"
form_oral_liquid,"oral liquid"
form_granules_for_syrup,"granules for syrup"
form_oral_drops__suspension,"oral drops, suspension"
form_rectal_solution,"rectal solution"
form_granules_for_oral_solution,"granules for oral solution"
form_suspension_and_solution_for_spray,"suspension and solution for spray"
form_nasal_spray__suspension,"nasal spray, suspension"
form_eye_gel,"eye gel"
form_oromucosal_paste,"oromucosal paste"
form_nasal_drops__solution,"nasal drops, solution"
form_ear_drops__solution,"ear drops, solution"
form_mouthwash,"mouthwash"
form_oromucosal_solution,"oromucosal solution"
form_inhalation_vapour__liquid,"inhalation vapour, liquid"
form_cutaneous_spray__solution,"cutaneous spray, solution"
form_pressurised_inhalation__suspension,"pressurised inhalation, suspension"
form_cutaneous_suspension,"cutaneous suspension"
form_ear/eye_drops__solution,"ear/eye drops, solution"
form_irrigation_solution,"irrigation solution"
form_cutaneous_powder,"cutaneous powder"
form_emulsion_for_infusion,"emulsion for infusion"
form_solution_for_sealant,"solution for sealant"
form_impregnated_dressing,"impregnated dressing"
form_concentrate_for_solution_for_injection/infusion,"concentrate for solution for injection/infusion"
form_emulsion_for_injection,"emulsion for injection"
form_inhalation_vapour__solution,"inhalation vapour, solution"
form_effervescent_powder,"effervescent powder"
form_vaginal_gel,"vaginal gel"
form_granules,"granules"
form_suspension_and_solvent_for_suspension_for_injection,"suspension and solvent for suspension for injection"
form_oromucosal_spray__solution,"oromucosal spray, solution"
form_oral_emulsion,"oral emulsion"
form_inhalation_powder,"inhalation powder"
form_prolonged_release_suspension_for_injection,"prolonged-release suspension for injection"
form_inhalation_powder__pre_dispensed,"inhalation powder, pre-dispensed"
form_cutaneous_spray__ointment,"cutaneous spray, ointment"
form_solution_for_peritoneal_dialysis,"solution for peritoneal dialysis"
form_cutaneous_stick,"cutaneous stick"
form_gel_for_injection,"gel for injection"
form_oral_paste,"oral paste"
form_powder_for_oral/rectal_suspension,"powder for oral/rectal suspension"
form_eye_ointment,"eye ointment"
form_sublingual_spray__solution,"sublingual spray, solution"
form_intravesical_solution,"intravesical solution"
form_oromucosal_gel,"oromucosal gel"
form_gingival_gel,"gingival gel"
form_medicated_plaster,"medicated plaster"
form_oral_drops__emulsion,"oral drops, emulsion"
form_solution_for_injection_in_pre_filled_syringe,"solution for injection in pre-filled syringe"
form_dental_gel,"dental gel"
form_oral_gel,"oral gel"
form_ear_drops__suspension,"ear drops, suspension"
form_solution_for_organ_preservation,"solution for organ preservation"
form_powder_for_rectal_solution,"powder for rectal solution"
form_intrauterine_delivery_system,"intrauterine delivery system"
form_nasal_drops__powder_for_solution,"nasal drops, powder for solution"
form_concentrate_for_cutaneous_solution,"concentrate for cutaneous solution"
form_dental_suspension,"dental suspension"
form_dental_solution,"dental solution"
form_powder_and_solvent_for_oral_suspension,"powder and solvent for oral suspension"
form_gastro_resistant_granules,"gastro-resistant granules"
form_endotracheopulmonary_instillation__suspension,"endotracheopulmonary instillation, suspension"
form_solution_for_haemodialysis/haemofiltration,"solution for haemodialysis/haemofiltration"
form_dental_paste,"dental paste"
form_concentrate_for_haemodialysis_solution,"concentrate for haemodialysis solution"
form_nasal_gel,"nasal gel"
form_powder_for_suspension_for_infusion,"powder for suspension for infusion"
form_powder_and_suspension_for_suspension_for_injection,"powder and suspension for suspension for injection"
form_vaginal_cream,"vaginal cream"
form_oromucosal_drops,"oromucosal drops"
form_concentrate_for_solution_for_injection,"concentrate for solution for injection"
form_eye_drops__tablet_and_solvent_for_solution,"eye drops, tablet and solvent for solution"
form_inhalation_solution,"inhalation solution"
form_suspension_and_effervescent_granules_for_oral_suspension,"suspension and effervescent granules for oral suspension"
form_concentrate_for_dip_solution,"concentrate for dip solution"
form_gargle,"gargle"
form_cutaneous_paste,"cutaneous paste"
form_concentrate_for_gargle,"concentrate for gargle"
form_intestinal_gel,"intestinal gel"
form_gingival_solution,"gingival solution"
form_oral_suspenion,"oral suspenion"
form_vaginal_delivery_system,"vaginal delivery system"
form_powder_for_concentrate_for_dispersion_for_infusion,"powder for concentrate for dispersion for infusion"
form_powder_for_cutaneous_solution,"powder for cutaneous solution"
form_concentrate_for_oral_solution,"concentrate for oral solution"
form_ear_powder,"ear powder"
form_intravitreal_implant_in_applicator,"intravitreal implant in applicator"
form_oral/rectal_suspension,"oral/rectal suspension"
form_eye_lotion,"eye lotion"
form_prolonged_release_granules,"prolonged-release granules"
form_cutaneous_patch,"cutaneous patch"
form_powder_and_solvent_for_oral_solution,"powder and solvent for oral solution"
form_ear_wash__solution,"ear wash, solution"
form_nasal_spray__powder_for_solution,"nasal spray, powder for solution"
form_modified_release_capsule__hard,"modified-release capsule, hard"
form_lyophilisate_and_solvent_for_solution_for_injection,"lyophilisate and solvent for solution for injection"
form_rectal_foam,"rectal foam"
form_solution_for_cardioplegia,"solution for cardioplegia"
form_collodion,"collodion"
form_implantation_chain,"implantation chain"
